date,city,state,latitude,longitude,temp_c,humidity_pct,rainfall_mm
2019-01-01,Ahmedabad,Gujarat,23.0225,72.5714,20.11,12.37,0.0
2019-01-02,Ahmedabad,Gujarat,23.0225,72.5714,20.46,13.13,0.0
2019-01-03,Ahmedabad,Gujarat,23.0225,72.5714,19.71,18.3,0.0
2019-01-04,Ahmedabad,Gujarat,23.0225,72.5714,20.8,15.37,0.0
2019-01-05,Ahmedabad,Gujarat,23.0225,72.5714,21.92,19.51,0.0
2019-01-06,Ahmedabad,Gujarat,23.0225,72.5714,19.64,27.77,0.0
2019-01-07,Ahmedabad,Gujarat,23.0225,72.5714,16.77,25.07,0.0
2019-01-08,Ahmedabad,Gujarat,23.0225,72.5714,17.04,26.38,0.0
2019-01-09,Ahmedabad,Gujarat,23.0225,72.5714,18.32,20.56,0.0
2019-01-10,Ahmedabad,Gujarat,23.0225,72.5714,18.81,25.69,0.0
2019-01-11,Ahmedabad,Gujarat,23.0225,72.5714,20.0,22.37,0.0
2019-01-12,Ahmedabad,Gujarat,23.0225,72.5714,20.17,29.15,0.0
2019-01-13,Ahmedabad,Gujarat,23.0225,72.5714,20.18,32.0,0.0
2019-01-14,Ahmedabad,Gujarat,23.0225,72.5714,19.41,30.76,0.0
2019-01-15,Ahmedabad,Gujarat,23.0225,72.5714,19.3,25.87,0.0
2019-01-16,Ahmedabad,Gujarat,23.0225,72.5714,20.91,18.31,0.0
2019-01-17,Ahmedabad,Gujarat,23.0225,72.5714,21.3,16.64,0.0
2019-01-18,Ahmedabad,Gujarat,23.0225,72.5714,21.47,17.89,0.0
2019-01-19,Ahmedabad,Gujarat,23.0225,72.5714,22.65,15.31,0.0
2019-01-20,Ahmedabad,Gujarat,23.0225,72.5714,22.55,20.93,0.0
2019-01-21,Ahmedabad,Gujarat,23.0225,72.5714,20.76,39.75,0.0
2019-01-22,Ahmedabad,Gujarat,23.0225,72.5714,19.86,49.48,0.07
2019-01-23,Ahmedabad,Gujarat,23.0225,72.5714,19.31,30.87,0.0
2019-01-24,Ahmedabad,Gujarat,23.0225,72.5714,18.05,28.71,0.0
2019-01-25,Ahmedabad,Gujarat,23.0225,72.5714,17.47,30.54,0.02
2019-01-26,Ahmedabad,Gujarat,23.0225,72.5714,16.18,24.81,0.0
